Date,GDP
Sep-1985,23058
Dec-1985,23590
Mar-1986,23602
Jun-1986,24591
Sep-1986,25488
Dec-1986,26247
Mar-1987,26395
Jun-1987,27254
Sep-1987,27840
Dec-1987,28952
Mar-1988,29971
Jun-1988,30361
Sep-1988,31260
Dec-1988,32355
Mar-1989,33171
Jun-1989,34776
Sep-1989,35226
Dec-1989,35806
Mar-1990,36728
Jun-1990,37575
Sep-1990,37276
Dec-1990,38158
Mar-1991,38065
Jun-1991,37831
Sep-1991,38874
Dec-1991,38439
Mar-1992,38749
Jun-1992,38532
Sep-1992,39382
Dec-1992,40151
Mar-1993,39666
Jun-1993,39885
Sep-1993,39475
Dec-1993,40289
Mar-1994,41275
Jun-1994,42468
Sep-1994,44145
Dec-1994,44257
Mar-1995,44081
Jun-1995,45502
Sep-1995,45664
Dec-1995,46031
Mar-1996,46509
Jun-1996,47461
Sep-1996,47341
Dec-1996,47314
Mar-1997,48157
Jun-1997,48917
Sep-1997,49815
Dec-1997,51814
Mar-1998,51847
Jun-1998,52573
Sep-1998,54292
Dec-1998,54538
Mar-1999,56156
Jun-1999,56790
Sep-1999,58139
Dec-1999,58757
Mar-2000,60332
Jun-2000,61176
Sep-2000,62402
Dec-2000,60193
Mar-2001,61228
Jun-2001,61785
Sep-2001,62832
Dec-2001,63781
Mar-2002,65110
Jun-2002,66137
Sep-2002,67903
Dec-2002,69139
Mar-2003,70345
Jun-2003,70253
Sep-2003,71707
Dec-2003,73816
Mar-2004,75356
Jun-2004,75464
Sep-2004,76383
Dec-2004,78535
Mar-2005,78169
Jun-2005,80349
Sep-2005,81063
Dec-2005,81762
Mar-2006,82195
Jun-2006,83486
Sep-2006,84384
Dec-2006,85563
Mar-2007,87464
Jun-2007,88821
Sep-2007,90552
Dec-2007,92493
Mar-2008,93433
Jun-2008,95278
Sep-2008,95076
Dec-2008,95503
Mar-2009,96130
Jun-2009,97218
Sep-2009,98478
Dec-2009,102203
Mar-2010,102803
Jun-2010,103774
Sep-2010,105596
Dec-2010,105936
Mar-2011,107892
Jun-2011,108333
Sep-2011,109298
Dec-2011,110461
Mar-2012,111085
Jun-2012,113503
Sep-2012,114320
Dec-2012,115882
Mar-2013,115703
Jun-2013,116104
Sep-2013,117431
Dec-2013,119172
Mar-2014,122340
Jun-2014,122391
Sep-2014,124753
Dec-2014,125936
Mar-2015,127363
Jun-2015,129221
Sep-2015,130833
Dec-2015,132685
Mar-2016,135373
Jun-2016,137035
Sep-2016,138282
Dec-2016,139942
Mar-2017,140599
Jun-2017,142610
Sep-2017,144420
Dec-2017,147083
Mar-2018,148621
Jun-2018,149635
Sep-2018,152801
Dec-2018,152526
Mar-2019,153676
Jun-2019,154760
Sep-2019,155333
Dec-2019,156730
Mar-2020,155210
Jun-2020,140798
Sep-2020,150969
Dec-2020,155916
Mar-2021,159965
Jun-2021,164363
Sep-2021,155487
Dec-2021,168155
Mar-2022,172980
Jun-2022,177621
Sep-2022,182218
Dec-2022,184536
Mar-2023,187357
Jun-2023,191164